Strain,Type,Effects
Alien-Rift,indica,"Relaxed,Happy,Euphoric,Uplifted,Hungry"
Alien-Rock-Candy,hybrid,"Relaxed,Happy,Euphoric,Sleepy,Tingly"
Alien-Sour-Apple,hybrid,"Euphoric,Relaxed,Uplifted,Creative,Happy"
Alien-Stardawg,sativa,"Uplifted,Happy,Euphoric,Creative,Tingly"
Alien-Technology,indica,"Happy,Relaxed,Uplifted,Euphoric,Focused"
Aliens-On-Moonshine,indica,"Relaxed,Happy,Talkative,Uplifted,Giggly"
Allen-Iverson-Og,indica,"Uplifted,Euphoric,Happy,Relaxed"
Allen-Wrench,sativa,"Happy,Uplifted,Focused,Energetic,Hungry"
Allkush,indica,"Relaxed,Sleepy,Uplifted,Happy"
Aloha,sativa,"Energetic,Uplifted,Happy,Creative,Focused"
Aloha-Grape-Stomper,hybrid,"Tingly,Uplifted,Euphoric,Giggly,Happy"
Aloha-Limone,hybrid,"Euphoric,Creative,Energetic,Talkative,Uplifted"
Alohaberry,hybrid,"Energetic,Uplifted,Aroused,Tingly,Relaxed"
Alpha-Blue,sativa,"Energetic,Happy,Euphoric,Relaxed,Talkative"
Alpha-Cow,sativa,None
Alpha-Express,sativa,"Energetic,Focused,Talkative,Happy,Relaxed"
Alpha-Og,hybrid,"Relaxed,Focused,Happy,Euphoric,Sleepy"
Alpine-Blue,hybrid,"Uplifted,Creative,Energetic,Aroused,Euphoric"
Alpine-Star,indica,"Relaxed,Uplifted,Happy,Euphoric,Tingly"
Ambrosia,hybrid,"Uplifted,Euphoric,Relaxed,Creative,Focused"
American-Dream,hybrid,"Focused,Euphoric,Tingly,Energetic,Relaxed"
American-Kush,indica,"Relaxed,Tingly,Sleepy,Uplifted,Happy"
Americano,indica,"Relaxed,Creative,Focused,Euphoric,Aroused"
Amethyst,hybrid,"Energetic,Creative,Giggly,Hungry,Happy"
Amethyst-Bud,hybrid,"Uplifted,Happy,Relaxed,Focused,Energetic"
Amnesia,sativa,"Happy,Euphoric,Energetic,Creative,Uplifted"
Amnesia-Ganja-Haze,sativa,"Euphoric, Relaxed"
Amnesia-Haze,sativa,"Happy,Euphoric,Uplifted,Energetic,Creative"
Ancient-Kush,indica,"Sleepy,Relaxed,Aroused,Creative,Energetic"
Ancient-Og,indica,"Relaxed,Euphoric,Sleepy,Happy,Hungry"
Anesthesia,indica,"Hungry,Sleepy,Relaxed,Happy,Euphoric"
Angel-Og,indica,"Happy,Relaxed,Uplifted,Sleepy,Euphoric"
Animal-Cookies,hybrid,"Relaxed,Happy,Euphoric,Creative,Uplifted"
Anonymous-Og,indica,"Relaxed,Sleepy,Happy,Euphoric,Hungry"
Anubis,indica,"Relaxed,Sleepy,Creative,Focused,Aroused"
Ape-Shit,hybrid,"Happy,Relaxed,Uplifted,Giggly,Talkative"
Apollo-11,hybrid,"Uplifted,Happy,Euphoric,Relaxed,Creative"
Apollo-13,hybrid,"Happy,Euphoric,Energetic,Uplifted,Creative"
Appalachia,hybrid,"Relaxed,Euphoric,Happy,Creative,Giggly"
Appalachian-Power,sativa,"Euphoric,Creative,Focused,Talkative,Uplifted"
Apple-Jack,hybrid,"Happy,Relaxed,Focused,Energetic,Tingly"
Apple-Kush,hybrid,"Relaxed,Euphoric,Uplifted,Happy,Tingly"
Appleberry,indica,"Relaxed,Happy,Sleepy,Hungry,Euphoric"
Arabian-Gold,sativa,"Euphoric,Tingly,Giggly,Sleepy,Creative"
Arctic-Sun,hybrid,"Creative,Relaxed,Energetic,Euphoric,Focused"
Arcticblue,hybrid,"Happy,Uplifted,Euphoric,Energetic,Relaxed"
Area-51,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Creative"
Argyle,indica,"Happy,Uplifted,Relaxed,Sleepy,Focused"
Arjans-Strawberry-Haze,sativa,"Happy,Uplifted,Talkative,Relaxed,Creative"
Arjans-Ultra-Haze-1,sativa,"Euphoric,Focused,Energetic,Relaxed,Creative"
Armageddon,hybrid,"Uplifted,Giggly,Happy,Relaxed,Talkative"
Armagnac,hybrid,"Relaxed,Sleepy,Talkative,Giggly,Happy"
Ash,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Sleepy"
Asian-Fantasy,sativa,"Euphoric,Hungry,Happy,Relaxed,Talkative"
Aspen-Og,hybrid,"Focused,Happy,Energetic,Relaxed,Talkative"
Astroboy,sativa,"Relaxed,Energetic,Happy,Creative,Focused"
Athabasca,indica,"Talkative,Uplifted,Happy,Relaxed,Giggly"
Atmosphere,hybrid,"Uplifted,Euphoric,Relaxed,Happy,Tingly"
Atomic,hybrid,"Happy,Relaxed,Talkative,Creative,Euphoric"
Atomic-Goat,hybrid,"Relaxed,Uplifted,Giggly,Tingly,Happy"
Atomic-Northern-Lights,hybrid,"Talkative,Uplifted,Hungry,Tingly,Focused"
Atomical-Haze,sativa,"Happy,Relaxed,Energetic,Uplifted,Creative"
Aurora-Borealis,indica,"Happy,Euphoric,Relaxed,Sleepy,Hungry"
Aurora-Indica,indica,"Relaxed,Sleepy,Happy,Euphoric,Uplifted"
Avalon,hybrid,"Aroused,Tingly,Hungry,Uplifted,Giggly"
Avi,hybrid,"Relaxed,Focused,Uplifted,Creative,Happy"
Avi-Dekel,hybrid,"Relaxed,Uplifted,Happy,Focused,Energetic"
Ayahuasca-Purple,indica,"Relaxed,Euphoric,Sleepy,Happy,Tingly"
Azure-Haze,hybrid,"Relaxed,Uplifted,Focused,Euphoric,Happy"
B-52,indica,"Relaxed,Happy,Giggly,Focused,Uplifted"
B-Witched,hybrid,"Euphoric,Relaxed,Happy,Hungry,Sleepy"
B-Witched,hybrid,"Euphoric,Relaxed,Happy,Hungry,Sleepy"
Bb-King,indica,"Sleepy,Happy,Relaxed,Uplifted,Creative"
B4,hybrid,"Happy,Uplifted,Euphoric,Focused,Relaxed"
Bc-Big-Bud,hybrid,"Relaxed,Euphoric,Happy,Creative,Sleepy"
Bc-Roadkill,hybrid,"Euphoric,Uplifted,Happy,Giggly,Relaxed"
Bc-Sweet-Tooth,indica,"Uplifted,Happy,Relaxed,Sleepy,Euphoric"
Bcn-Diesel,hybrid,"Sleepy,Focused,Happy,Hungry"
