Strain,Type,Effects,H2O,TotalTHC,THC,Δ8-THC,Δ9-THC,THCA,THCV,TotalCBD,CBDA,CBDV,CBDVA,CBC,CBG,CBN,α-Pinene,Camphene,Myrcene,β-Pinene,3-Carene,α-Terpinene,D-Limonene,p-Cymene,Ocimene,Eucalyptol,γ-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,β-Caryophyllene,α-Humelene,Nerolidol-1,Nerolidol-2,Guaiol,CaryophylleneOxide,α-Bisabolol
Strawberry Fields,indica,"Relaxed,Happy,Euphoric,Uplifted,Sleepy",10.93%,185.5,185.5,0,2.98,185,0,3.57,0,0,0,0,1.09,0,0,0,1.76,0.53,0,0,1.8,0,0,0,0,4.29,0,0,0,3.66,0.86,0,0,0,0,0
Alaskan Blackberry F2,NA,NA,10.37%,194.68,194.68,0,0.85,198,0,0,0,0,0,0,1.43,0,1.38,0,3.64,0,0,0,0,0,0,0,0,0,0.65,0,0,2.97,0.64,0,0,0,0,0
Green Ribbon,hybrid,"Happy,Uplifted,Energetic,Creative,Focused",11.34%,254.61,254.61,0,8.24,248,0,0,0,0,0,0,1.7,0,0,0,0.95,0.57,0,0,3.52,0,0,0,0,0,1.61,0,0,2.86,0.96,0,0,0,0,0
Harley Wreck,NA,NA,7.73%,5.43,5.43,0,0,5,0,145.23,149,0,1.62,0,1.24,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0.57
Double D Og,hybrid,"Relaxed,Happy,Uplifted,Euphoric,Focused",9.76%,224.28,224.28,0,11.2,218,0,0,0,0,0,0,0.86,0,0,0,7.94,0,0,0,2.13,0,0,0,0,0,2.47,0,0,6.84,1.88,0.2,0.32,0,0,1.4
Chocolate Mint Og,NA,NA,12.33%,122.83,122.83,0,5.95,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,2.22,0,0,3.51,0.89,0,0.37,0,0,0.7
Trainwreck,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Creative",9.76%,175.82,175.82,0,6.94,173,0,0,0,0,0,0,0,0,1.23,0,5.51,0,0,0,0.64,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0
White Tygh Dream,NA,NA,9.55%,312.06,312.06,0,17.4,302,0,0.63,0.65,0,0,0.66,0,0,0,0,8.56,0,0,0,1.92,0,0.24,0,0,0,0,0,0,3.46,0.78,0,0,0,0,0
Wow,NA,NA,11.01%,243.59,243.59,0,5.41,241,0,0,0,0,0,0,1.18,0,0,0,1.35,0.52,0,0,4.17,0,0,0,0,0,0,0,0,6.7,1.62,0,0,0,0,0
Suzy Q,hybrid,"Relaxed,Uplifted,Focused,Hungry,Sleepy",8.96%,5.47,5.47,0,0,5,0,112.25,115,0,3.79,0,0,0,1.45,0,4.47,0.54,0,0,0,0,0,0,0,0,0,0,0,2.11,0.83,0,0,0,0,0
Cherry Kush,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Hungry",11.85%,161.07,161.07,0,19.2,140,0,0,0,0,0,0,0,0,2.17,0,11.03,0.54,0,0,0,0,0,0,0,0,0.54,0,0,6.58,2.34,0,0.37,0,0,0
Samoas,NA,NA,9.56%,238.21,238.21,0,11.1,233,0,0,0,0,0,0,0,0,0,0,1.55,0.55,0,0,3.83,0,0,0,0,0,1.89,0,0,4.3,1.06,0.24,0,0,0,1.27
Og 18,hybrid,"Relaxed,Happy,Euphoric,Sleepy,Uplifted",10.55%,267.08,267.08,0,17.9,252,0,0,0,0,0,0,1.44,0,0,0,7.42,0.67,0,0,4.58,0,0,0,0,0,2.61,0,0,1.11,0,0,0,0,0,0
Oregon Huckleberry,NA,NA,12.14%,203.72,203.72,0,10.6,192,0,0,0,0,0,0,0,0,2.09,0,5.98,1.24,0,0,2.65,0,0,0,0,0,0.54,0,0,2.06,0,0,0,0,0,0
Og Banana Berry,NA,NA,8.50%,159.82,159.82,0,10.3,155,0,1.27,0,0,0,0,0,0,0,0,1.96,0,0,0,0.91,0,0,0,0,3.1,0,0,0,1.36,0,0,0,0,0,0
Holy Widow,NA,NA,10.12%,163.76,163.76,0,8.62,158,0,3.55,2.44,0,0,0,0,0,0.91,0,4.4,0.57,0,0,0.76,0,0,0,0,2.71,0,0,0,0,0,0,0,0,0,0
Blue Berry Blast,NA,NA,9.76%,222.81,222.81,0,8.12,220,0,0,0,0,0,0,0,0,2.56,0,6.52,1.2,0,0,0.9,0,0,0,0,0,0.78,0,0,3.08,0.91,0,0,0,0,0
Harletsu X Black Dog,NA,NA,9.68%,44.18,44.18,0,0,45,0,136,137,0,16.7,0,0,0,1.77,0,11,0.81,0,0,1.31,0,0,0,0,0.69,0.63,0,0,1.57,0,0,0,0,0,0
Acapulco Gold,sativa,"Happy,Uplifted,Euphoric,Creative,Energetic",8.60%,242.39,242.39,0,2.29,250,0,0,0,0,0,0,1.06,0,0,0,2.71,0,0,0,3.47,0,0,0,0,0,1.74,0,0,3.98,1.03,0,0.38,0,0,0
