Strain,Type,Effects,H2O,TotalTHC,THC,Δ8-THC,Δ9-THC,THCA,THCV,TotalCBD,CBDA,CBDV,CBDVA,CBC,CBG,CBN,α-Pinene,Camphene,Myrcene,β-Pinene,3-Carene,α-Terpinene,D-Limonene,p-Cymene,Ocimene,Eucalyptol,γ-Terpinene,Terpinolene,Linalool,Isopulegol,Geraniol,β-Caryophyllene,α-Humelene,Nerolidol-1,Nerolidol-2,Guaiol,CaryophylleneOxide,α-Bisabolol
Wedding Cake,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Hungry",10.34%,222.04,222.04,0,1.76,225,0,0,0,0,0,0,1.92,0,0,0,1.88,0,0,0,2.98,0,0,0,0,0,1.51,0,0,5.78,2.25,0,0,0,0,0
Tangelo Haze,NA,NA,10.62%,213.09,213.09,0,4.54,212,0,0,0,0,0,0,0,0,0,0,2.02,0.54,0,0,4.46,0,0,0,0,0,2.37,0,0,8.62,2.24,0,0,1.23,0,0.75
Jager,NA,NA,10.39%,177.15,177.15,0,30.7,146,0,0,0,0,0,0.71,0,0,0,0,1.84,0,0,0,3.43,0,0,0,0,0,2.48,0,0,14.25,6.29,0,0,0,0,0
Conspiracy Kush,indica,"Relaxed,Happy,Sleepy,Euphoric,Uplifted",10.87%,189.44,189.44,0,14.5,176,0,0,0,0,0,0,0,0,0.52,0,4.13,1.01,0,0,3.35,0,0,0,0,10.13,0,0,0,3.72,0.82,0,0,0.61,0,0
Cinex,sativa,"Energetic,Uplifted,Happy,Focused,Euphoric",9.02%,147.03,147.03,0,4.85,147,0,0,0,0,0,0,1.99,0,0.56,0,1.09,0.93,0,0,5.72,0,0,0,0,0,1.35,0,0,2.37,0,0,0,1.05,0,0
Cannatonic 4,hybrid,"Relaxed,Happy,Uplifted,Focused,Euphoric",8.21%,107.19,107.19,0,4.55,107,0,90.36,87.5,0,0,0.97,0.98,0,1.02,0,6.2,0.52,0,0,0.94,0,0,0,0,0,0.71,0,0,2.85,0.74,0,0,1.11,0,1.01
Dragon Snacks,NA,NA,11.35%,41.15,41.15,0,0,41,0,87.16,88.1,0,0.72,0,0.71,0,0,0,0.97,0,0,0,1.2,0,0,0,0,0,0,0,0,2.6,0.54,0,0,0,0,0.75
Head Band,NA,NA,8.49%,226.6,226.6,0,6.53,229,0,0,0,0,0,0,1.03,0,0,0,3.19,0.51,0,0,3.08,0,0,0,0,0,3.87,0,0,8.06,2.14,0,0,0,0,0
Lemon Peel,NA,NA,8.33%,193.15,193.15,0,1.66,200,0,0,0,0,0,0,0,0,0,0,1.84,0.71,0,0,4.25,0,0,0,0,0,0.95,0,0,2.56,0.8,0,0,0.6,0,0.52
Zkittlez,indica,"Relaxed,Happy,Euphoric,Uplifted,Sleepy",8.49%,237.2,237.2,0,6.58,240,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,2.97,0,0,0,0,0,4.82,0,0,11.91,4.59,0,0.84,0,0,0.98
Silvertip,hybrid,"Relaxed,Happy,Euphoric, Uplifted, Creative",8.30%,179.27,179.27,0,1.27,186,0,0,0,0,0,0,1.18,0,1.64,0,5.06,0,0,0,0.77,0,0,0,0,0,0.6,0,0,1.44,0,0,0,0,0,0
Portland Punch,NA,NA,9.42%,198.82,198.82,0,1.18,204,0,0,0,0,0,0,1.97,0,0,0,6.03,0,0,0,0.93,0,0,0,0,0,0.66,0,0,2.7,0.63,0,0,0.63,0,0
Blue Dragon Desert Frost,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Creative",10.76%,7.45,7.45,0,0,7,0,142.65,142,0,1.49,0,0,0,0,0,2.77,0,0,0,0.89,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0.57
Blue Dream,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Creative",10.54%,217.17,217.17,0,3.09,218,0,0,0,0,0,0,0.76,0,3.05,0,7.11,1.45,0,0,0.7,0,0,0,0,0,0.6,0,0,1.99,0.55,0,0,0,0,0
Lite Me Up,NA,NA,10.15%,73.02,73.02,0,1.24,73,0,134.08,131,0,0.89,0,1.29,0,0,0,1.05,0,0,0,1.12,0,0,0,0,5.76,0,0,0,3.36,0.88,0,0,0,0,0
Super Silver Blue Mango,hybrid,"Relaxed,Happy,Euphoric, Uplifted, Creative",9.54%,142.6,142.6,0,0.95,146,0,0,0,0,0,0,0.98,0,0,0,4.11,0,0,0,1.77,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0
Hazy Girl,NA,NA,10.84%,242.15,242.15,0,3.67,242,0,0,0,0,0,0,1.38,0,0,0,0.81,0.59,0,0,0.92,0,0,0,0,4.93,0,0,0,3.97,1.3,0,0,0,0,0
Cinex,sativa,"Energetic,Uplifted,Happy,Focused,Euphoric",12.18%,173.37,173.37,0,1.41,172,0,0,0,0,0,0,2.64,0,0.69,0,0.85,0.93,0,0,4.72,0,0,0,0,0,1.33,0,0,1.84,0,0,0,1,0,0
Cookie Lemon Kush,NA,NA,11.03%,273.91,273.91,0,1.65,276,0,0,0,0,0,0,0.97,0,0,0,2.04,0,0,0,3.42,0,0,0,0,0,2.19,0,0,8.99,3.15,0,0,0,0,1.41
Black Betty,hybrid,"Euphoric,Uplifted,Happy,Relaxed,Creative",10.05%,274.7,274.7,0,7.67,273,0,1.22,0,0,0,0,2.05,0,0,0,11.55,0,0,0,1.75,0,0,0,0,0,0.78,0,0,1.76,0,0,0,0.61,0,0
Bruce Banner,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Creative",9.04%,313.91,313.91,0,5.77,319,0,1.43,0.64,0,0,0,1.89,0,0,0,5.06,0.75,0,0,5.32,0,0,0,0,0,1.73,0,0,4.3,1.53,0,0,0,0,0
Ogre,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Aroused",9.14%,250.74,250.74,0,11.2,247,0,0,0,0,0,0,1.04,0,0,0,7.55,0,0,0,1.07,0,0,0,0,0,0.64,0,0,4.09,1,0,0,0.58,0,0
Sizzleberry,NA,NA,8.97%,192.27,192.27,0,3.13,196,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,1.63,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0
Goji Dc,NA,NA,9.52%,42.72,42.72,0,3.22,40,0,76.09,71.6,0,0,0.65,0,0,0.62,0,5.24,0,0,0,0.66,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0
Snow Leopard,indica,"Relaxed,Euphoric,Happy,Sleepy,Uplifted",8.56%,301.2,301.2,0,3.55,310,0,0.7,0,0,0,0,1.47,0,0,0,9.13,0,0,0,1,0,0,0,0,0,0.62,0,0,3.07,0.78,0,0,0.76,0,0
Tangie Cure,NA,NA,10.87%,86.88,86.88,0,0,88,0,135.07,136,0,0.83,0,1.43,0,1.45,0,4.88,0.63,0,0,0,0,0,0,0,0,0.88,0,0,1.62,0.54,0,0,0.53,0,0
Violet Delight,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Talkative",10.06%,191.66,191.66,0,4.87,191,0,0,0,0,0,0,1.77,0,0.6,0,6.76,0,0,0,0.8,0,0,0,0,0,0,0,0,2.35,0,0,0,0,0,0
Sour Banana Sherbert,hybrid,"Happy,Relaxed,Euphoric,Uplifted,Focused",8.92%,231.55,231.55,0,3.05,237,0,0,0,0,0,0,1.71,0,0,0,2.66,0,0,0,1.98,0,0,0,0,0,1.07,0,0,4.68,1.16,0.3,0,0,0,1.03
Obama Kush,indica,"Relaxed,Euphoric,Happy,Sleepy,Uplifted",8.28%,227.64,227.64,0,14.1,222,0,0,0,0,0,0,0,0,0.93,0,0,0.97,0,0,6.64,0,0,0,0,0,1.37,0,0,10.49,2.54,0.26,0,0,0,1.02
Bubba,NA,NA,11.30%,256.47,256.47,0,9.99,248,0,0,0,0,0,0,1.23,0,0,0,0.57,0,0,0,4.48,0,0,0,0,0,0,0,0,4.74,1.19,0.64,0,0,0,1.04
Nepalese Kush,sativa,"Happy,Relaxed,Euphoric,Uplifted,Creative",8.84%,288.41,288.41,0,3.32,296,0,0,0,0,0,0,0,0,0,0,5.11,0.58,0,0,3.73,0,0,0,0,0,0,0,0,3.2,1.02,0,0,0.73,0,0.7
Granola Funk,hybrid,"Euphoric,Happy,Uplifted,Relaxed,Giggly",9.23%,211.1,211.1,0,1.31,217,0,0,0,0,0,0,0.76,0,0,0,0.91,0,0,0,1.81,0,0,0,0,0,1.39,0,0,2.75,0.85,0,0,0,0,0.91
Headband,hybrid,"Happy,Relaxed,Uplifted,Euphoric,Creative",9.29%,238.58,238.58,0,5.06,241,0,0,0,0,0,0,0,0,0,0,1.42,0,0,0,4.3,0,0,0,0,0,0.74,0,0,4.64,1.23,0,0,0,0,0.54
Golden Pineapple,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Energetic",11.98%,277.74,277.74,0,5.92,272,0,6.33,0,0,0,0,1.62,0,0,0,3.47,0.69,0,0,1.67,0,0,0,0,10.69,0,0,0,1.64,0,0,0,0.75,0,0
White Tahoe Cookies,indica,"Relaxed,Euphoric,Happy,Sleepy,Uplifted",9.16%,276.36,276.36,0,7.24,278,0,0,0,0,0,0,0.91,0,0,0,3.07,0.52,0,0,3.34,0,0,0,0,0,2.86,0,0,6.05,2.16,0.27,0,0,0,0.82
Peanut Butter Breath,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Focused",10.64%,259.15,259.15,0,4.43,259,0,0,0,0,0,0,0.91,0,0,0,0.89,0,0,0,2.14,0,0,0,0,0,1.86,0,0,6.34,2.14,0.36,0,0,0,1.4
Gg4Og,hybrid,"Relaxed,Happy,Euphoric,Uplifted,Sleepy",9.68%,184.69,184.69,0,18.6,169,0,0,0,0,0,0,0,0,0,0,4.54,0,0,0,3.19,0,0,0,0,0,1.03,0,0,2.61,0.65,0,0,0,0,0
Cannatonic,hybrid,"Relaxed,Happy,Uplifted,Focused,Euphoric",9.01%,4.54,4.54,0,0,4,0,110.11,107,0,0,1.04,0,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.64
Cbd Kush,hybrid,"Relaxed,Happy,Focused,Uplifted,Euphoric",9.75%,109.5,109.5,0,1.48,111,0,119.73,122,0,0.8,0,0,0,0,0,1.97,0,0,0,3.49,0,0,0,0,0,0.53,0,0,3.39,0.9,0,0,0,0,0.95
Quantum Kush 5,sativa,"Happy,Uplifted,Euphoric,Relaxed,Energetic",9.31%,212.95,212.95,0,8.95,210,0,0,0,0,0,0,0.97,0,0.87,0,0.98,0.93,0,0,5.71,0,0,0,0,0,1.14,0,0,4.8,1.22,0,0,0,0,0
Headdog 9,NA,NA,8.00%,249.67,249.67,0,12.2,248,0,0.61,0.64,0,0,0,0,0,0,0,1.7,0.57,0,0,5.25,0,0,0,0,0,1.88,0,0,4.64,1.19,0.38,0,1.11,0,0
Jager Og,indica,"Relaxed,Happy,Euphoric,Sleepy,Uplifted",10.26%,199.99,199.99,0,18.1,184,0,0,0,0,0,0,0,0,0,0,2.64,0,0,0,4.71,0,0,0,0,0,0.95,0,0,3.54,0.9,0,0,0.9,0,0
Pineapple Jager,NA,NA,9.23%,62.64,62.64,0,6.34,57,0,138.63,138,0,1.08,0.7,0,0,2.08,0,8.74,0.94,0,0,2.37,0,0,0,0,0,0.53,0,0,2.33,0.78,0,0,0.64,0,0
Sour Tsunami,hybrid,"Relaxed,Happy,Focused,Uplifted,Euphoric",9.85%,5.1,5.1,0,0,5,0,117.06,109,0,1.01,0.97,0,0,0.74,0,5.09,0,0,0,0,0,0,0,0,3.14,0,0,0,1.63,0,0,0,0,0,0
Forum Gsc,NA,NA,8.83%,158.69,158.69,0,6.99,157,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,2.21,0,0,0,0,0,0.58,0,0,3.8,1.33,0,0,0,0,0
Chocolate Hashberry,hybrid,"Relaxed,Happy,Euphoric, Uplifted, Creative",9.31%,238.2,238.2,0,4.67,241,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,1.62,0,0,0,0,0,0,0,0,3.02,0.95,0.24,0,0,0,0
Green C,NA,NA,10.73%,177.63,177.63,0,8.6,171,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,1.4,0,0,0,0,0,0,0,0,2.41,0.97,0,0,0,0,0.79
